playerId,name,proTeam,position,proj_points
4241476,Tyrell Shavers,BUF,WR,3.76
4683243,Mitchell Evans,CAR,TE,3.71
3127586,Jeremy McNichols,WSH,RB,9.03
3059722,Zay Jones,ARI,WR,24.14
2972515,Cooper Rush,BAL,QB,2.42
3039707,Mitchell Trubisky,BUF,QB,2.26
16728,Teddy Bridgewater,TB,QB,3.0
4241464,Mac Jones,SF,QB,2.24
4686422,Xavier Hutchinson,HOU,WR,36.26
4429105,Arian Smith,NYJ,WR,17.3
14163,Tyrod Taylor,NYJ,QB,2.3
4361516,Daniel Bellinger,NYG,TE,12.75
4048228,John Bates,WSH,TE,14.52
4012556,C.J. Ham,MIN,RB,4.89
4696882,Devontez Walker,BAL,WR,4.59
4911851,LeQuint Allen Jr.,JAX,RB,8.4
3843945,Foster Moreau,NO,TE,40.47
3914397,Scotty Miller,PIT,WR,9.89
3892775,Jarrett Stidham,DEN,QB,2.59
4690013,Rasheen Ali,BAL,RB,6.31
3047876,KhaDarel Hodge,ATL,WR,21.73
4383351,Trey Lance,LAC,QB,2.64
4429835,George Holani,SEA,RB,8.03
14012,Andy Dalton,CAR,QB,2.51
4257188,Charlie Jones,CIN,WR,2.31
2975417,Patrick Ricard,BAL,RB,5.43
3115293,Kyle Allen,DET,QB,2.02
2998565,Mo Alie-Cox,IND,TE,7.57
4039050,Devin Duvernay,CHI,WR,6.77
4426407,Trey Palmer,NO,WR,9.58
4431210,Beaux Collins,NYG,WR,3.46
4040612,Luke Farrell,SF,TE,7.21
4241424,Tylan Wallace,BAL,WR,4.28
4241263,Charlie Kolar,BAL,TE,11.31
4361372,Jeremy Ruckert,NYJ,TE,13.25
4366963,Dylan Laube,LV,RB,4.07
4242557,Colby Parkinson,LAR,TE,11.95
4691688,Robbie Ouzts,SEA,RB,3.0
4372505,Payne Durham,TB,TE,9.82
4372071,Hassan Haskins,LAC,RB,5.94
3127310,Drew Sample,CIN,TE,11.82
4708049,Gavin Bartholomew,MIN,TE,3.95
4039160,Kylen Granson,PHI,TE,3.29
4430723,Jared Wiley,KC,TE,4.18
4035020,Charlie Woerner,ATL,TE,13.18
2580216,DeAndre Carter,CLE,WR,6.08
4689334,Malik Heath,GB,WR,3.52
3122168,Trent Sherfield Sr.,DEN,WR,7.51
3052096,Johnny Mundt,JAX,TE,17.3
4427278,Xavier Gipson,NYJ,WR,13.37
2574511,Brandon Allen,TEN,QB,2.18
3118892,Justin Watson,HOU,WR,4.06
3052897,Durham Smythe,CHI,TE,6.43
2578570,Jacoby Brissett,ARI,QB,2.37
4035656,Ben Skowronek,PIT,WR,3.06
4573697,Mason Tipton,NO,WR,3.21
3059989,Nick Mullens,JAX,QB,2.6
3050481,Tanner Hudson,CIN,TE,3.96
4241961,Connor Heyward,PIT,TE,3.49
4568024,Josh Williams,TB,RB,2.59
4242546,Davis Mills,HOU,QB,2.42
4573699,Jackson Hawes,BUF,TE,3.66
4386544,Xavier Smith,LAR,WR,3.07
4710855,Konata Mumpfield,LAR,WR,4.06
4360967,Brevyn Spann-Ford,DAL,TE,8.09
4043016,Dee Eskridge,MIA,WR,4.73
3061612,Jamal Agnew,ATL,WR,8.65
4045305,Ian Thomas,LV,TE,7.36
